Tau_PT_sum,Tau_PT_dif,Tau_PT_1,Tau_PT_2,Tau_Mass_sum,Tau_Mass_dif,Tau_Mass_1,Tau_Mass_2,Tau_Ener_sum, Tau_Ener_1, Tau_Ener_2,Tau_Eta_dif,Tau_Eta_1,Tau_Eta_2,type,type_2,Miss_MET,Jet_PT_sum,Jet_PT_dif,Jet_PT_1,Jet_PT_2,Jet_Mass_sum,Jet_Mass_dif,Jet_Mass_1,Jet_Mass_2,Jet_Ener_sum,Jet_Ener_1,Jet_Ener_2,Jet_Eta_dif,Jet_Eta_1,Jet_Eta_2
580.68,390.326,485.503,95.1771,7.57262,5.62613,6.59937,0.973242,1009.61,813.151,196.46,-0.248517,1.1047,1.35321,1,4,257.541,829.337,488.666,659.001,170.335,94.9343,47.4968,71.2155,23.7188,3710.94,3355,355.941,3.67531,2.31061,-1.3647
463.718,341.194,402.456,61.2619,13.8724,-10.8055,1.53347,12.3389,633.26,516.169,117.09,1.99267,0.735059,-1.25761,1,4,117.989,502.103,329.527,415.815,86.2878,77.2431,52.0714,64.6572,12.5859,1784.98,530.977,1254,-4.0843,-0.715981,3.36831
500.821,367.842,434.332,66.4894,8.43351,5.83612,7.13481,1.29869,829.071,588.351,240.721,-2.77904,-0.818957,1.96008,1,4,21.868,407.683,329.491,368.587,39.0958,23.9319,18.7749,21.3534,2.57852,1286.76,1108.66,178.101,-3.96244,-1.76533,2.19711
495.473,316.268,405.87,89.6025,66.3694,59.9105,63.14,3.22942,1129.5,764.479,365.017,-0.839338,1.24291,2.08225,1,4,146.797,602.178,342.256,472.217,129.961,80.9302,50.9823,65.9563,14.974,2472.92,2187.9,285.023,3.63444,2.21409,-1.42036
529.76,268.538,399.149,130.611,26.8833,21.848,24.3657,2.51766,823.312,669.021,154.291,-0.511676,-1.10484,-0.593168,1,4,129.902,590.171,280.794,435.483,154.688,96.1525,67.0565,81.6045,14.548,2483.02,512.219,1970.8,3.79678,0.560417,-3.23636
622.95,158.279,390.614,232.335,2.50406,-2.50406,0,2.50406,724.47,482.321,242.149,-0.961937,-0.672494,0.289443,1,4,283.338,474.599,363.907,419.253,55.3461,80.0708,63.7819,71.9264,8.14444,1261.13,548.17,712.964,3.99922,0.751827,-3.2474
245.13,97.0832,171.106,74.0233,21.3844,21.3844,21.3844,-1.3487e-06,1067.91,947.639,120.27,-1.32978,-2.39632,-1.06654,1,4,146.179,243.204,153.312,198.258,44.9457,20.2551,12.7815,16.5183,3.7368,266.971,218.535,48.4357,0.825136,0.441649,-0.383486
528.946,392.329,460.637,68.3087,6.21771,-0.682744,2.76748,3.45023,679.51,461.127,218.383,1.87551,0.0456894,-1.82982,1,4,192.904,697.919,632.483,665.201,32.718,80.5084,66.3583,73.4333,7.07504,986.165,735.808,250.357,-3.16833,-0.444921,2.72341
367.898,157.007,262.453,105.445,4.30349,-4.30348,3.8147e-06,4.30349,716.814,319.12,397.694,2.64837,0.645852,-2.00252,1,4,259.649,689.595,402.658,546.127,143.469,58.9041,35.8977,47.4009,11.5032,2654.29,1383.45,1270.83,4.45176,1.58054,-2.87122
492.849,279.452,386.151,106.699,4.42354,1.93515,3.17934,1.2442,504.186,386.608,117.578,-0.495683,-0.0479911,0.447691,1,4,80.1208,504.987,157.464,331.225,173.761,80.0313,18.4217,49.2265,30.8048,1493.06,1304.45,188.606,2.42088,2.04662,-0.374257
